cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
899715,0001145443-10-001814,10-Q,2010-08-06,2010-08-07,2010,Q2,2010-06-30,quarterly,SKT,TANGER FACTORY OUTLET CENTERS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798,,,,,,,,instance,2010-08-06
899715,0001145443-10-002443,10-Q,2010-11-04,2010-11-05,2010,Q3,2010-09-30,quarterly,SKT,TANGER FACTORY OUTLET CENTERS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798,,,,,,,,instance,2010-11-04
899715,0000899715-11-000018,10-K,2011-02-28,2011-03-01,2010,FY,2010-12-31,annual,SKT,TANGER FACTORY OUTLET CENTERS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798,,,,,,,,instance,2011-02-28
899715,0000899715-11-000018,10-K,2011-02-28,2011-03-01,2010,FY,2010-12-31,quarterly,SKT,TANGER FACTORY OUTLET CENTERS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798,,,,,,,,instance,2011-02-28
899715,0000899715-11-000045,10-Q,2011-05-09,2011-05-10,2011,Q1,2011-03-31,quarterly,SKT,TANGER FACTORY OUTLET CENTERS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798,81315938000,2011-03-31,single,,,,,instance,2011-05-09
899715,0000899715-11-000089,10-Q,2011-08-09,2011-08-10,2011,Q2,2011-06-30,quarterly,SKT,TANGER FACTORY OUTLET CENTERS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798,81316070,2011-06-30,single,,,,,instance,2011-08-09
899715,0000899715-11-000102,10-Q,2011-11-07,2011-11-08,2011,Q3,2011-09-30,quarterly,SKT,TANGER FACTORY OUTLET CENTERS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798,,,,,,,,instance,2011-11-07
899715,0000899715-12-000008,10-K,2012-02-29,2012-03-01,2011,FY,2011-12-31,annual,SKT,TANGER FACTORY OUTLET CENTERS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798,,,,,,,,instance,2012-02-29
899715,0000899715-12-000008,10-K,2012-02-29,2012-03-01,2011,FY,2011-12-31,quarterly,SKT,TANGER FACTORY OUTLET CENTERS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798,,,,,,,,instance,2012-02-29
899715,0000899715-12-000036,10-Q,2012-05-10,2012-05-11,2012,Q1,2012-03-31,quarterly,SKT,TANGER FACTORY OUTLET CENTERS INC,,,,,,,,,,,,,,,,,,,8128000,,,,,,,,,,,,,,,,,,,,6798,,,,,,,,instance,2012-05-10
899715,0000899715-12-000047,10-Q,2012-08-08,2012-08-09,2012,Q2,2012-06-30,quarterly,SKT,TANGER FACTORY OUTLET CENTERS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798,,,,,,,,instance,2012-08-08
899715,0000899715-12-000071,10-Q,2012-11-08,2012-11-09,2012,Q3,2012-09-30,quarterly,SKT,TANGER FACTORY OUTLET CENTERS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798,,,,,,,,instance,2012-11-08
899715,0000899715-13-000070,10-K,2013-02-27,2013-02-28,2012,FY,2012-12-31,annual,SKT,TANGER FACTORY OUTLET CENTERS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798,,,,,,,,instance,2013-02-27
899715,0000899715-13-000070,10-K,2013-02-27,2013-02-28,2012,FY,2012-12-31,quarterly,SKT,TANGER FACTORY OUTLET CENTERS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798,,,,,,,,instance,2013-02-27
